subject	dominant_hand	n_sessions	mean_z_left_m1	mean_z_right_m1	max_z_left_m1	max_z_right_m1	stronger_mean	stronger_max	expected_contra_if_dominant
sub01	R	2	-0.240563	2.105113	9.278490	12.169697	right	right	left
sub02	R	2	-2.827651	-3.700169	8.603916	10.027848	left	right	left
sub03	R	2	0.793107	0.778752	10.634611	16.936541	left	right	left
sub04	R	2	2.288597	1.148365	6.626823	4.955861	left	left	left
sub07	R	2	-1.757541	-0.315741	0.850580	3.183022	right	right	left
sub09	R	2	0.392602	0.874324	2.877641	2.464126	right	left	left
sub10	L	2	-0.451433	-0.335061	6.785863	3.757997	right	left	right
sub11	R	2	-0.098284	-0.450743	2.975520	1.686740	left	left	left
sub12	R	2	-0.079114	0.273231	4.077352	4.367989	right	right	left
sub13	L	2	0.910601	-2.349557	4.482830	2.674854	left	left	right
sub14	R	2	0.919340	0.039733	5.933905	4.252150	left	left	left
sub15	R	2	0.091587	0.897810	2.724644	4.600498	right	right	left
sub17	R	1	0.735154	-0.239550	2.783084	2.256618	left	left	left
sub18	R	2	0.830963	1.342757	3.592633	4.919788	right	right	left
sub20	L	2	-1.699895	-1.048252	1.221156	1.692203	right	right	right
sub23	R	2	-1.074517	-1.033217	2.362329	1.482214	right	left	left
sub24	R	2	-0.079217	-0.542090	3.339686	3.252644	left	left	left
sub28	L	2	0.206618	1.480338	3.062292	4.720836	right	right	right
