subject	dominant_hand	expected_contralateral_hemi	expected_side_mean_z_subjectavg	opposite_side_mean_z_subjectavg	session	outside_m1_peak_z	x_mm	y_mm	z_mm	peak_hemisphere	same_as_expected_hemi	distance_to_expected_m1_mm	region_class	harvard_oxford_cortical	juelich
sub01	R	left	-0.240563	2.105113	ses2	17.500	-24.0	-66.0	38.0	left	1	47.8	visual/occipital	Harvard-Oxford Cortical Structural Atlas52% Lateral Occipital Cortex, superior division, 2% Precuneous Cortex	Juelich Histological Atlas12% GM Anterior intra-parietal sulcus hIP1 L, 3% GM Anterior intra-parietal sulcus hIP3 L, 1% GM Superior parietal lobule 7A L
sub02	R	left	-2.827651	-3.700169	ses2	16.300	-38.0	-50.0	-2.0	left	1	63.6	visual/occipital	Harvard-Oxford Cortical Structural Atlas1% Temporal Occipital Fusiform Cortex, 1% Inferior Temporal Gyrus, temporooccipital part	Juelich Histological Atlas39% WM Callosal body, 38% WM Optic radiation L
sub07	R	left	-1.757541	-0.315741	ses2	8.580	24.0	-78.0	52.0	right	0	82.3	visual/occipital	Harvard-Oxford Cortical Structural Atlas55% Lateral Occipital Cortex, superior division	Juelich Histological Atlas18% GM Superior parietal lobule 7P R, 11% GM Superior parietal lobule 7A R, 10% GM Anterior intra-parietal sulcus hIP3 R
sub09	R	left	0.392602	0.874324	ses1	9.570	-2.0	56.0	-26.0	left	1	120.1	frontal	Harvard-Oxford Cortical Structural Atlas29% Frontal Pole, 11% Frontal Medial Cortex	Juelich Histological AtlasNo label found!
sub10	L	right	-0.335061	-0.451433	ses1	10.100	-10.0	-90.0	42.0	left	0	82.8	visual/occipital	Harvard-Oxford Cortical Structural Atlas17% Lateral Occipital Cortex, superior division, 16% Occipital Pole, 1% Cuneal Cortex	Juelich Histological Atlas8% GM Superior parietal lobule 7P L, 8% GM Superior parietal lobule 7A L
sub11	R	left	-0.098284	-0.450743	ses2	8.660	-26.0	-46.0	74.0	left	1	30.9	motor/somatosensory-related	Harvard-Oxford Cortical Structural Atlas18% Superior Parietal Lobule, 10% Postcentral Gyrus	Juelich Histological Atlas4% GM Superior parietal lobule 5L L, 4% GM Primary somatosensory cortex BA1 L, 4% GM Primary motor cortex BA4a L, 2% GM Superior parietal lobule 7PC L, 2% GM Primary somatosensory cortex BA2 L, 2% GM Primary motor cortex BA4p L, 1% GM Superior parietal lobule 7A L
sub12	R	left	-0.079114	0.273231	ses2	10.400	58.0	-36.0	56.0	right	0	96.7	parietal	Harvard-Oxford Cortical Structural Atlas16% Supramarginal Gyrus, posterior division, 1% Supramarginal Gyrus, anterior division	Juelich Histological AtlasNo label found!
sub13	L	right	-2.349557	0.910601	ses1	10.100	30.0	-90.0	30.0	right	1	71.4	visual/occipital	Harvard-Oxford Cortical Structural Atlas25% Occipital Pole, 16% Lateral Occipital Cortex, superior division	Juelich Histological Atlas7% GM Visual cortex V2 BA18 R
sub15	R	left	0.091587	0.897810	ses2	10.500	36.0	-96.0	0.0	right	0	117.5	visual/occipital	Harvard-Oxford Cortical Structural Atlas37% Occipital Pole, 6% Lateral Occipital Cortex, inferior division	Juelich Histological Atlas45% GM Visual cortex V2 BA18 R, 35% GM Visual cortex V3V R, 3% GM Visual cortex V4 R
sub18	R	left	0.830963	1.342757	ses2	10.900	64.0	-44.0	44.0	right	0	104.6	parietal	Harvard-Oxford Cortical Structural Atlas14% Supramarginal Gyrus, posterior division, 4% Angular Gyrus	Juelich Histological AtlasNo label found!
sub20	L	right	-1.048252	-1.699895	ses2	7.270	-26.0	-94.0	16.0	left	0	102.9	visual/occipital	Harvard-Oxford Cortical Structural Atlas61% Occipital Pole, 5% Lateral Occipital Cortex, superior division	Juelich Histological Atlas10% GM Visual cortex V3V L, 9% GM Visual cortex V2 BA18 L, 9% GM Visual cortex V1 BA17 L
sub23	R	left	-1.074517	-1.033217	ses2	12.400	22.0	-94.0	28.0	right	0	96.4	visual/occipital	Harvard-Oxford Cortical Structural Atlas43% Occipital Pole, 7% Lateral Occipital Cortex, superior division	Juelich Histological Atlas30% GM Visual cortex V2 BA18 R, 14% GM Visual cortex V1 BA17 R
sub24	R	left	-0.079217	-0.542090	ses1	9.740	2.0	52.0	-26.0	right	0	118.7	frontal	Harvard-Oxford Cortical Structural Atlas50% Frontal Medial Cortex, 15% Frontal Pole	Juelich Histological AtlasNo label found!
