sub	ses	run	bold	ev
sub-pd001	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd001/ses-1/func/mnireg-2mm/sub-pd001_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD001-ses-1-go-times_run-1_go.txt
sub-pd001	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd001/ses-1/func/mnireg-2mm/sub-pd001_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD001-ses-1-go-times_run-2_go.txt
sub-pd001	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd001/ses-2/func/mnireg-2mm/sub-pd001_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD001-ses-2-go-times_run-1_go.txt
sub-pd001	ses-2	run-2	/home/zkavian/fsl_glm/data/sub-pd001/ses-2/func/mnireg-2mm/sub-pd001_ses-2_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD001-ses-2-go-times_run-2_go.txt
sub-pd002	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd002/ses-1/func/mnireg-2mm/sub-pd002_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD002-ses-1-go-times.txt_run-1_go.txt
sub-pd002	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd002/ses-1/func/mnireg-2mm/sub-pd002_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD002-ses-1-go-times.txt_run-2_go.txt
sub-pd002	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd002/ses-2/func/mnireg-2mm/sub-pd002_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD002-ses-2-go-times_run-1_go.txt
sub-pd002	ses-2	run-2	/home/zkavian/fsl_glm/data/sub-pd002/ses-2/func/mnireg-2mm/sub-pd002_ses-2_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD002-ses-2-go-times_run-2_go.txt
sub-pd003	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd003/ses-1/func/mnireg-2mm/sub-pd003_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD003-ses-1-go-times_run-1_go.txt
sub-pd003	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd003/ses-1/func/mnireg-2mm/sub-pd003_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD003-ses-1-go-times_run-2_go.txt
sub-pd003	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd003/ses-2/func/mnireg-2mm/sub-pd003_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD003-ses-2-go-times_run-1_go.txt
sub-pd003	ses-2	run-2	/home/zkavian/fsl_glm/data/sub-pd003/ses-2/func/mnireg-2mm/sub-pd003_ses-2_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm-upsampled.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD003-ses-2-go-times_run-2_go.txt
sub-pd004	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd004/ses-1/func/mnireg-2mm/sub-pd004_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD004-ses-1-go-times_run-1_go.txt
sub-pd004	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd004/ses-1/func/mnireg-2mm/sub-pd004_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD004-ses-1-go-times_run-2_go.txt
sub-pd004	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd004/ses-2/func/mnireg-2mm/sub-pd004_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD004-ses-2-go-times_run-1_go.txt
sub-pd004	ses-2	run-2	/home/zkavian/fsl_glm/data/sub-pd004/ses-2/func/mnireg-2mm/sub-pd004_ses-2_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD004-ses-2-go-times_run-2_go.txt
sub-pd007	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd007/ses-1/func/mnireg-2mm/sub-pd007_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD007-ses-1-go-times_run-1_go.txt
sub-pd007	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd007/ses-1/func/mnireg-2mm/sub-pd007_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD007-ses-1-go-times_run-2_go.txt
sub-pd007	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd007/ses-2/func/mnireg-2mm/sub-pd007_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD007-ses-2-go-times_run-1_go.txt
sub-pd007	ses-2	run-2	/home/zkavian/fsl_glm/data/sub-pd007/ses-2/func/mnireg-2mm/sub-pd007_ses-2_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD007-ses-2-go-times_run-2_go.txt
sub-pd009	ses-1	run-1	/home/zkavian/fsl_glm/data/sub-pd009/ses-1/func/mnireg-2mm/sub-pd009_ses-1_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD009-ses-1-go-times_run-1_go.txt
sub-pd009	ses-1	run-2	/home/zkavian/fsl_glm/data/sub-pd009/ses-1/func/mnireg-2mm/sub-pd009_ses-1_run-2_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD009-ses-1-go-times_run-2_go.txt
sub-pd009	ses-2	run-1	/home/zkavian/fsl_glm/data/sub-pd009/ses-2/func/mnireg-2mm/sub-pd009_ses-2_run-1_task-mv_bold_corrected_smoothed_mnireg-2mm.nii.gz	/home/zkavian/fsl_glm/go_times_3col/PSPD009-ses-2-go-times_run-1_go.txt
